station_name,wigos_station_identifier,traditional_station_identifier,facility_type,latitude,longitude,elevation,territory_name,wmo_region
Penfold Creek,0-124-15003-1C23P,1C23P,Land (fixed),52.74882,-120.561,1740,Canada,IV
Penticton East AGRI,0-124-15005-AGPE010,AGPE010,Land (fixed),49.4617,-119.575,400,Canada,IV
Penticton Solar Observatory,0-124-10001-PEN,PEN,Land (fixed),49.3,-119.6,385,Canada,IV
Peyto Lower Ice,0-124-34001-157,157,Land (fixed),51.67669,-116.53399,2150,Canada,IV
Peyto Main,0-124-34001-156,156,Land (fixed),51.68549,-116.54495,2250,Canada,IV
Peyto Middle Ice,0-124-34001-160,160,Land (fixed),51.66293,-116.55754,2461,Canada,IV
Peyto Outlet New,0-124-34001-159,159,Land (fixed),51.68107,-116.55472,2150,Canada,IV
Peyto Upper Ice,0-124-34001-161,161,Land (fixed),51.6493,-116.53651,2709,Canada,IV
Pickle Lake,0-20008-0-PKL,PKL,Land (fixed),51.54000092,-90.19999695,370,Canada,IV
Pine River Gas Plant,0-124-15003-107,107,Land (fixed),55.57463,-121.921476,1113,Canada,IV
Pine River Hasler,0-124-15003-110,110,Land (fixed),55.60556,-121.973469,610,Canada,IV
Pond Inlet,0-20008-0-PON,PON,Land (fixed),72.7001,-77.9585,55,Canada,IV
Pond Inlet Riometer,0-124-10001-PON,PON,Land (fixed),72.7,-77.9,55,Canada,IV
Port Alberni Elementary,0-124-15003-263,263,Land (fixed),49.261014,-124.806628,17,Canada,IV
Port Aux Basques,0-20000-0-73026,73026,Land (fixed),47.56666667,-59.15,39,Canada,IV
Port Edwards Sunset Drive,0-124-15003-589,589,Land (fixed),54.2232,-130.29045,39,Canada,IV
Port Mellon,0-124-15003-117,117,Land (fixed),49.522778,-123.482222,3,Canada,IV
Poste de-la-Baleine Magnetic Observatory,0-124-10001-PBQ,PBQ,Land (fixed),55.277,-77.745,40,Canada,IV
Powell River James Thompson School,0-124-15003-122,122,Land (fixed),49.889299,-124.5624,125,Canada,IV
Powell River Pacifica,0-124-15003-126,126,Land (fixed),49.874167,-124.555556,45,Canada,IV
Prince Albert Glass Field,0-20000-0-73002,73002,Land (fixed),53.2,-105.6666667,425.42,Canada,IV
Prince George Exploration Place,0-124-15003-528,528,Land (fixed),53.905139,-122.734049,577,Canada,IV
Prince George Glenview School,0-124-15003-138,138,Land (fixed),53.99556,-122.77556,750,Canada,IV
Prince George Plaza 400,0-124-15003-144,144,Land (fixed),53.91472,-122.74194,588,Canada,IV
Prince George Pulp,0-124-15003-146,146,Land (fixed),53.924444,-122.686111,600,Canada,IV
Prince Rupert Fairview,0-124-15003-546,546,Land (fixed),54.292615,-130.352188,15,Canada,IV
Prince Rupert Roosevelt Park School,0-124-15003-425,425,Land (fixed),54.3064,-130.3269,80,Canada,IV
QAVVIK LAKE,0-20000-0-71583,71583,Land (fixed),68.25444444,-122.1027778,548,Canada,IV
QIKI RACS-CHS,0-124-10010-M049015,M049015,Land (fixed),67.559326,-64.033661,5.69,Canada,IV
QIKIQTARJUAQ A,0-20000-0-71338,71338,Land (fixed),67.54583333,-64.03138889,5.5,Canada,IV
QIKIQTARJUAQ CLIMATE,0-20000-0-71357,71357,Land (fixed),67.53333333,-64.01666667,3.9,Canada,IV
QUAD WCDA-PGC,0-124-10010-M067000,M067000,Land (fixed),50.132491,-125.330812,7.56,Canada,IV
QUALICUM BEACH AIRPORT,0-20000-0-71766,71766,Land (fixed),49.33333333,-124.3833333,58.2,Canada,IV
QUEBEC/JEAN LESAGE INTL,0-20000-0-71714,71714,Land (fixed),46.8,-71.36666667,59.81,Canada,IV
QUEENSTOWN,0-20000-0-71073,71073,Land (fixed),50.59777778,-112.8033333,941,Canada,IV
QUESNEL AIRPORT AUTO,0-20000-0-71779,71779,Land (fixed),53.0267,-122.5064,545.3,Canada,IV
QUESNEL AWOS,0-20000-0-71103,71103,Land (fixed),53.02611111,-122.51,545,Canada,IV
QUESNEL,0-20000-0-71192,71192,Land (fixed),53.02611111,-122.5102778,545,Canada,IV
Quesnel Johnston Avenue,0-124-15003-583,583,Land (fixed),52.969061,-122.494031,505,Canada,IV
Quilchena AGRI,0-124-15005-AGQC023,AGQC023,Land (fixed),50.17972,-120.505,316,Canada,IV
RABBIT KETTLE,0-20000-0-71980,71980,Land (fixed),61.95,-127.2,618,Canada,IV
RACE ROCKS,0-20000-0-71778,71778,Land (fixed),48.28333333,-123.5166667,7.4,Canada,IV
RADWAY AGCM,0-20000-0-71545,71545,Land (fixed),53.995,-112.8791667,625,Canada,IV
RAE LAKES,0-20000-0-71165,71165,Land (fixed),64.1,-117.3,217.52,Canada,IV
RANFURLY AUTO,0-20000-0-71637,71637,Land (fixed),53.41666667,-111.7166667,687,Canada,IV
RANKIN INLET A,0-20000-0-71083,71083,Land (fixed),62.81666667,-92.11666667,32.31,Canada,IV
